id,sku,price
5.68E+13,KD14982,4.49
5.68E+13,KD15198,1.39
5.68E+13,T6127,1.09
5.68E+13,KD33587,10.49
5.68E+13,KD32226,1.19
5.68E+13,8668,0.27
5.68E+13,TA5754,1.09
5.68E+13,KD29181,2.99
5.68E+13,KD14236,0.72
5.68E+13,KD14235,0.72
5.68E+13,KD14237,2.79
5.68E+13,KD04971,5.49
5.68E+13,KD04954,1.42
5.68E+13,TY9138,1.75
5.68E+13,T5249,1.15
5.68E+13,6826,0.69
5.68E+13,KD19798,0.89
5.68E+13,KD18264,0.79
5.68E+13,9565P,1.38
5.68E+13,KD16677,0.56
5.68E+13,KD17111,0.69
5.68E+13,9562,1.19
5.68E+13,8797,0.67
5.68E+13,KD16660,0.69
5.68E+13,KD29658,0.75
5.68E+13,KD04941,2.49
5.68E+13,KD04940,2.35
5.68E+13,KD00755,3.99
5.68E+13,KD27776,0.89
5.68E+13,KD31888,1.19
5.68E+13,P2434,0.69
5.68E+13,KD04999,4.29
5.68E+13,KD31733,0.99
5.68E+13,KD31790,1.19
5.68E+13,KD24220,1.39
5.68E+13,KD32504,4.19
5.68E+13,KD31346,2.65
5.68E+13,KD13688,0.49
5.68E+13,KD13714,0.49
5.68E+13,KD13713,0.49
5.68E+13,KD13712,0.49
5.68E+13,KD13709,0.49
5.68E+13,KD13687,0.52
5.68E+13,KD13669,0.28
5.68E+13,KD13711,0.49
5.68E+13,KD13707,0.49
5.68E+13,KD13686,0.52
5.68E+13,KD13715,0.49
5.68E+13,KD13708,0.49
5.68E+13,KD13685,0.59
5.68E+13,KD13696,0.39
5.68E+13,KD13684,0.99
5.68E+13,KD13678,1.09
5.68E+13,KD13668,0.35
5.68E+13,KD13691,0.59
5.68E+13,KD23484,0.39
5.68E+13,KD12733,2.29
5.68E+13,KD13697,0.89
5.68E+13,KD02798,0.79
5.68E+13,KD29002,0.65
5.68E+13,KD01219,4.79
5.68E+13,KD13704,0.65
5.68E+13,KD29005,2.49
5.68E+13,KD29003,2.69
5.68E+13,KD28973,1.29
5.68E+13,KD28971,0.55
5.68E+13,KD28972,0.55
5.68E+13,KD28976,8.49
5.68E+13,KD28981,6.49
5.68E+13,KD28980,4.99
5.68E+13,KD28979,11.49
5.68E+13,KD11534,1.15
5.68E+13,KD24596,4.99
5.68E+13,KD24594,0.65
5.68E+13,KD13677,1.09
5.68E+13,KD30039,1.59
5.68E+13,KD19513,0.79
5.68E+13,KD18899,0.79
5.68E+13,KD18898,0.79
5.68E+13,KD31075,0.55
5.68E+13,KD22768,1.45
5.68E+13,KD01206,0.69
5.68E+13,KD13690,0.59
5.68E+13,KD25331,0.99
5.68E+13,KD22487,1.05
5.68E+13,KD18900,1.05
5.68E+13,KD32660,1.05
5.68E+13,KD15716,7.99
5.68E+13,KD13676,1.19
5.68E+13,KD20785,0.59
5.68E+13,KD20779,0.6
5.68E+13,KD20784,0.59
5.68E+13,KD01214,0.59
5.68E+13,KD13693,0.65
5.68E+13,KD13706,0.85
5.68E+13,KD20763,1.09
5.68E+13,KD13695,0.39
5.68E+13,KD23049,3.99
5.68E+13,KD23164,2.99
5.68E+13,KD13703,0.65
5.68E+13,KD23483,0.85
5.68E+13,KD13574,14.49
5.68E+13,KD25336,6.99
5.68E+13,KD13679,1.75
5.68E+13,KD13702,0.65
5.68E+13,KD23298,2.99
5.68E+13,KD23485,4.89
5.68E+13,KD24597,4.79
5.68E+13,KD13681,1.05
5.68E+13,KD13689,0.59
5.68E+13,KD23699,0.59
5.68E+13,KD23698,0.45
5.68E+13,KD28978,5.99
5.68E+13,KD13694,0.45
5.68E+13,KD13682,1.49
5.68E+13,KD13700,0.65
5.68E+13,KD23697,0.55
5.68E+13,KD18901,0.49
5.68E+13,KD13705,0.85
5.68E+13,KD25330,0.79
5.68E+13,KD24599,3.69
5.68E+13,KD13683,0.75
5.68E+13,KD29000,0.49
5.68E+13,KD13670,1.09
5.68E+13,KD16761,0.35
5.68E+13,KD13701,0.65
5.68E+13,KD13698,0.65
5.68E+13,KD13692,0.45
5.68E+13,KD13699,0.65
5.68E+13,KD20917,0.69
5.68E+13,KD24463,0.69
5.68E+13,KD24462,0.69
5.68E+13,KD31722,0.99
5.68E+13,KD31719,1.25
5.68E+13,1372446,0.69
5.68E+13,KD29220,0.65
5.68E+13,KD20223,0.69
5.68E+13,KD20218,0.69
5.68E+13,KD20220,0.69
5.68E+13,KD20224,0.69
5.68E+13,KD15630,0.77
5.68E+13,KD30187,0.99
5.68E+13,KD29660,2.59
5.68E+13,KD32388,1.05
5.68E+13,KD00708,3.87
5.68E+13,KD00786,0.88
5.68E+13,KD19281,0.69
5.68E+13,KD31342,1.09
5.68E+13,KD04744,2.39
5.68E+13,KD04962,2.69
5.68E+13,KD04958,4.99
5.68E+13,KD12490,0.33
5.68E+13,KD32511,5.99
5.68E+13,KD04965,1.89
5.68E+13,KD04966,1.29
5.68E+13,KD04977,5.79
5.68E+13,KD04963,2.49
5.68E+13,KD04964,3.69
5.68E+13,KD04976,5.79
5.68E+13,KD04980,1.35
5.68E+13,KD04981,3.49
5.68E+13,KD00781,1.35
5.68E+13,KD00749,2.93
5.68E+13,KD32392,3.85
5.68E+13,KD00730,0.62
5.68E+13,KD04733,3.09
5.68E+13,KD00785,1.85
